action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,77433,[],CHEMBL701597,Inhibitory activity against kallikrein was determined,B,,,BAO_0000190,BAO_0000357,single protein format,NS(=O)(=O)c1ccccc1-c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Br)cn2)cc1,,,CHEMBL1147577,Bioorg Med Chem Lett,2004,"{'bei': '10.30', 'le': '0.22', 'lle': '1.02', 'sei': '4.33'}",CHEMBL174750,,CHEMBL174750,5.68,0,http://www.openphacts.org/units/Nanomolar,348621,=,1,1,=,,IC50,nM,,2100.0,CHEMBL2319,Homo sapiens,Kallikrein 1,9606,,,IC50,uM,UO_0000065,,2.1
,,181220,[],CHEMBL701595,In vitro inhibitory activity against kallikrein was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2)cc1,,,CHEMBL1137970,Bioorg Med Chem Lett,2004,"{'bei': '10.77', 'le': '0.22', 'lle': '2.58', 'sei': '5.88'}",CHEMBL294121,,CHEMBL294121,5.24,0,http://www.openphacts.org/units/Nanomolar,112172,=,1,1,=,,IC50,nM,,5800.0,CHEMBL2319,Homo sapiens,Kallikrein 1,9606,,,IC50,uM,UO_0000065,,5.8
,,265265,[],CHEMBL701763,Tested in vitro for the inhibitory activity against kallikrein,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)c1cccc(OCCNC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,,,CHEMBL1135152,Bioorg Med Chem Lett,2002,"{'bei': '12.95', 'le': '0.25', 'lle': '3.59', 'sei': '3.83'}",CHEMBL432306,,CHEMBL432306,5.68,0,http://www.openphacts.org/units/Nanomolar,72823,=,1,1,=,,IC50,nM,,2100.0,CHEMBL2319,Homo sapiens,Kallikrein 1,9606,,,IC50,uM,UO_0000065,,2.1
,,284942,[],CHEMBL701763,Tested in vitro for the inhibitory activity against kallikrein,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)c1cccc(Oc2ccccc2NC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,,,CHEMBL1135152,Bioorg Med Chem Lett,2002,"{'bei': '13.57', 'le': '0.26', 'lle': '2.27', 'sei': '4.45'}",CHEMBL297835,,CHEMBL297835,6.60,0,http://www.openphacts.org/units/Nanomolar,72840,=,1,1,=,,IC50,nM,,250.0,CHEMBL2319,Homo sapiens,Kallikrein 1,9606,,,IC50,uM,UO_0000065,,0.25
,,318861,[],CHEMBL703574,Compound was evaluated for inhibitory activity against Kallikrein.,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1oc(-c2ccccc2I)nc2ccccc12,,,CHEMBL1128999,Bioorg Med Chem Lett,1996,"{'bei': '14.34', 'le': '0.38', 'lle': '1.54', 'sei': '11.61'}",CHEMBL10378,,CHEMBL10378,5.00,0,http://www.openphacts.org/units/Nanomolar,314058,=,1,1,=,,IC50,nM,,9890.0,CHEMBL2319,Homo sapiens,Kallikrein 1,9606,,,IC50,uM,UO_0000065,,9.89
,,332931,[],CHEMBL703574,Compound was evaluated for inhibitory activity against Kallikrein.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,,,CHEMBL1128999,Bioorg Med Chem Lett,1996,"{'bei': '17.81', 'le': '0.32', 'lle': '3.54', 'sei': '4.48'}",CHEMBL273264,NAFAMOSTAT,CHEMBL273264,6.19,0,http://www.openphacts.org/units/Nanomolar,314057,=,1,1,=,,IC50,nM,,650.0,CHEMBL2319,Homo sapiens,Kallikrein 1,9606,,,IC50,uM,UO_0000065,,0.65
,,439182,[],CHEMBL701596,Inhibitory activity of compound against kallikrein,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C(=O)Nc2ccc(C3=NCCN3C)cc2F)n(-c2cc3ccccc3cc2F)n1,,,CHEMBL1147598,Bioorg Med Chem Lett,2004,,CHEMBL21052,,CHEMBL21052,,0,http://www.openphacts.org/units/Nanomolar,27215,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2319,Homo sapiens,Kallikrein 1,9606,,,IC50,uM,UO_0000065,,10.0
,,447272,[],CHEMBL701596,Inhibitory activity of compound against kallikrein,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C(=O)Nc2ccc(C(=N)N(C)C)cc2F)n(-c2ccc3cc(Cl)ccc3c2)n1,,,CHEMBL1147598,Bioorg Med Chem Lett,2004,,CHEMBL20918,,CHEMBL20918,,0,http://www.openphacts.org/units/Nanomolar,27189,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2319,Homo sapiens,Kallikrein 1,9606,,,IC50,uM,UO_0000065,,10.0
,,449776,[],CHEMBL701596,Inhibitory activity of compound against kallikrein,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)C(=N)c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cc3ccccc3cc2F)c(F)c1,,,CHEMBL1147598,Bioorg Med Chem Lett,2004,,CHEMBL279486,,CHEMBL279486,,0,http://www.openphacts.org/units/Nanomolar,27214,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2319,Homo sapiens,Kallikrein 1,9606,,,IC50,uM,UO_0000065,,10.0
,,453653,[],CHEMBL701596,Inhibitory activity of compound against kallikrein,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C(=O)Nc2ccc(C(=N)N(C)C)cc2F)n(-c2cc3ccccc3cc2F)n1,,,CHEMBL1147598,Bioorg Med Chem Lett,2004,,CHEMBL21140,,CHEMBL21140,,0,http://www.openphacts.org/units/Nanomolar,27217,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2319,Homo sapiens,Kallikrein 1,9606,,,IC50,uM,UO_0000065,,10.0
